n_estimators,max_depth,min_samples_leaf,train_mae,test_mae
2776,9,5,45.306547535129624,47.82898177006621
3413,9,5,45.30838715348199,47.83208537915139
1396,8,5,46.629975607415,48.47737538751411
1874,8,5,46.624701523985685,48.478987847898686
3114,8,4,46.732555512691285,48.59507172982415
1989,8,4,46.737523151764606,48.59900085724281
4609,8,4,46.73027048038027,48.60006119293074
1320,8,4,46.75097927872751,48.607606030541035
3066,8,3,46.90771406674317,48.802491759818054
2878,8,3,46.90921676271499,48.803198566153824
1443,8,3,46.92403667173701,48.81608928530259
1386,8,3,46.92242100640249,48.81613725031346
1099,9,1,46.37431602808401,48.93907567890167
3656,8,2,47.14225447172231,49.06549918145096
2670,7,5,47.92912923254979,49.22164675428534
4125,7,5,47.92677276080589,49.22656182809291
4191,7,4,48.01865954700065,49.339155347033824
4360,7,4,48.019995815675415,49.342493135134276
613,8,1,47.491018197528504,49.43952854122091
1002,8,1,47.49694437651444,49.44100416556896
2977,7,3,48.16761238310883,49.518052921818416
2139,7,2,48.3511019540809,49.72990531637889
3711,7,2,48.345322947609134,49.733120288227134
744,7,2,48.35553138549962,49.74515860909849
1457,7,1,48.61788499896862,50.00138895441286
3493,7,1,48.60842476895871,50.00252457888334
705,6,5,49.24711104328527,50.159598105970424
4105,6,2,49.535930685824155,50.518283334509526
1553,6,2,49.55246715319076,50.519806501017214
3954,6,1,49.72322392379313,50.70648140494456
2650,5,5,50.54674066108899,51.107817372454335
967,5,5,50.54811400059749,51.11376437083745
944,5,5,50.54871651211241,51.11377490073372
4212,5,2,50.741356263206484,51.34896882256452
4397,5,1,50.851245696423966,51.47327769086136
1997,4,5,52.10267814901427,52.4450637694549
3878,4,5,52.106761886387794,52.45064176214277
2305,4,4,52.133878892694106,52.47522802486039
2830,4,4,52.133554421364934,52.475688156493334
4456,4,3,52.16924208439754,52.510928656079116
3392,4,3,52.174374296897135,52.51395389902606
2885,4,2,52.21765893859931,52.55740864552341
2803,3,4,53.98312394381072,54.187151691236
4713,3,4,53.99023907952985,54.19650245772627
2126,3,2,54.00002194498439,54.20513848847363
3427,3,2,54.00520586406301,54.211627769786084
4125,3,2,54.00651558166213,54.21305621909434
4518,3,2,54.00695538352035,54.214019855094264
3733,3,1,54.028792406668224,54.24527240813283
358,3,1,54.0382611194314,54.2552455420093
